nama_provinsi,kode_kabkota,nama_kabkota,tahun,indikator_ipm,satuan,nilai
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,"Rata-rata Lama Sekolah","Tahun",8.4
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",572.87
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,"IPM","Tanpa Satuan",68.84
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,"Angka Harapan Hidup","Tahun",69.41
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,"Angka Melek Huruf","Persen",97.24
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,"Rata-rata Lama Sekolah","Tahun",8.4
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",579.33
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,"IPM","Tanpa Satuan",69.4
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,"Angka Harapan Hidup","Tahun",69.52
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,"Angka Melek Huruf","Persen",97.35
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,"Rata-rata Lama Sekolah","Tahun",8.4
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",580.16
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,"IPM","Tanpa Satuan",69.55
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,"Angka Harapan Hidup","Tahun",69.63
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,"Angka Melek Huruf","Persen",97.51
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,"Rata-rata Lama Sekolah","Tahun",8.49
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",586.29
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,"IPM","Tanpa Satuan",70.19
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2010,"Angka Harapan Hidup","Tahun",69.74
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2010,"Angka Melek Huruf","Persen",98.21
